date,value
2024-06-01 04:29:26,114
2024-06-01 04:29:29,114
2024-06-01 04:29:38,120
2024-06-01 04:29:43,119
2024-06-01 04:29:44,120
2024-06-01 04:29:53,121
2024-06-01 04:29:55,121
2024-06-01 04:29:59,121
2024-06-01 04:30:05,120
2024-06-01 04:30:09,118
2024-06-01 04:30:17,115
2024-06-01 04:30:23,113
2024-06-01 04:30:25,113
2024-06-01 04:30:29,111
2024-06-01 04:30:37,100
2024-06-01 04:30:43,98
2024-06-01 04:30:45,98
2024-06-01 04:30:49,102
2024-06-01 04:30:54,108
2024-06-01 04:31:03,113
2024-06-01 04:31:07,114
2024-06-01 04:31:13,116
2024-06-01 04:31:16,116
2024-06-01 04:31:21,117
2024-06-01 04:31:27,114
2024-06-01 04:31:29,113
2024-06-01 04:31:34,108
2024-06-01 04:31:39,103
2024-06-01 04:31:48,107
2024-06-01 04:31:53,110
2024-06-01 04:31:58,113
2024-06-01 04:32:03,115
2024-06-01 04:32:08,114
2024-06-01 04:32:10,114
2024-06-01 04:32:15,116
2024-06-01 04:32:23,119
2024-06-01 04:32:28,120
2024-06-01 04:32:31,121
2024-06-01 04:32:36,123
2024-06-01 04:32:40,123
2024-06-01 04:32:47,123
2024-06-01 04:32:52,125
2024-06-01 04:32:55,125
2024-06-01 04:32:59,125
2024-06-01 04:33:08,125
2024-06-01 04:33:09,126
2024-06-01 04:33:18,126
2024-06-01 04:33:20,125
2024-06-01 04:33:24,125
2024-06-01 04:33:33,121
2024-06-01 04:42:46,99
2024-06-01 04:50:21,117
2024-06-01 04:54:05,111
2024-06-01 04:45:20,102
2024-06-01 04:57:03,90
2024-06-01 05:03:34,104
2024-06-01 05:03:38,105
2024-06-01 05:03:43,107
2024-06-01 05:03:49,107
2024-06-01 05:03:53,105
2024-06-01 05:03:55,105
2024-06-01 05:04:04,103
2024-06-01 05:04:05,104
2024-06-01 05:04:10,105
2024-06-01 05:04:19,102
2024-06-01 05:04:24,102
2024-06-01 05:04:28,103
2024-06-01 05:04:33,104
2024-06-01 05:04:35,104
2024-06-01 05:04:42,102
2024-06-01 05:04:49,99
2024-06-01 05:04:51,99
2024-06-01 05:04:59,99
2024-06-01 05:05:00,100
2024-06-01 05:05:05,102
2024-06-01 05:05:14,99
2024-06-01 05:05:15,100
2024-06-01 05:05:23,104
2024-06-01 05:05:28,107
2024-06-01 05:05:30,107
2024-06-01 05:05:39,112
2024-06-01 05:05:40,112
2024-06-01 05:05:49,108
2024-06-01 05:05:54,107
2024-06-01 05:05:55,106
2024-06-01 05:06:03,104
2024-06-01 05:06:09,103
2024-06-01 05:06:10,102
2024-06-01 05:06:17,99
2024-06-01 05:06:22,103
2024-06-01 05:06:27,107
2024-06-01 05:06:34,103
2024-06-01 05:06:35,104
2024-06-01 05:06:40,106
2024-06-01 05:06:47,107
2024-06-01 05:06:52,107
2024-06-01 05:06:55,107
2024-06-01 05:07:01,104
2024-06-01 05:07:05,104
2024-06-01 05:07:14,99
2024-06-01 05:07:17,99
2024-06-01 05:07:20,98
2024-06-01 05:07:28,93
2024-06-01 05:07:34,98
2024-06-01 05:07:35,98
2024-06-01 05:07:44,104
2024-06-01 05:07:45,104
2024-06-01 05:07:54,107
2024-06-01 05:07:58,105
2024-06-01 05:08:03,106
2024-06-01 05:08:09,106
2024-06-01 05:08:10,106
2024-06-01 05:08:16,106
2024-06-01 05:08:20,105
2024-06-01 05:08:26,103
2024-06-01 05:08:30,101
2024-06-01 05:10:22,97
2024-06-01 05:14:05,85
2024-06-01 05:19:50,99
2024-06-01 05:28:00,85
2024-06-01 05:38:15,126
