deviceName,creationDate,startDate,endDate,value
Apple Watch,2024-05-27 15:30:09 +0900,2024-05-27 15:30:04 +0900,2024-05-27 15:30:04 +0900,68
Apple Watch,2024-05-27 15:30:14 +0900,2024-05-27 15:30:13 +0900,2024-05-27 15:30:13 +0900,72
Apple Watch,2024-05-27 15:30:19 +0900,2024-05-27 15:30:18 +0900,2024-05-27 15:30:18 +0900,73
Apple Watch,2024-05-27 15:30:23 +0900,2024-05-27 15:30:23 +0900,2024-05-27 15:30:23 +0900,72
Apple Watch,2024-05-27 15:30:28 +0900,2024-05-27 15:30:27 +0900,2024-05-27 15:30:27 +0900,72
Apple Watch,2024-05-27 15:30:33 +0900,2024-05-27 15:30:29 +0900,2024-05-27 15:30:29 +0900,73
Apple Watch,2024-05-27 15:30:39 +0900,2024-05-27 15:30:38 +0900,2024-05-27 15:30:38 +0900,76
Apple Watch,2024-05-27 15:30:44 +0900,2024-05-27 15:30:43 +0900,2024-05-27 15:30:43 +0900,77
Apple Watch,2024-05-27 15:30:49 +0900,2024-05-27 15:30:45 +0900,2024-05-27 15:30:45 +0900,77
Apple Watch,2024-05-27 15:30:54 +0900,2024-05-27 15:30:49 +0900,2024-05-27 15:30:49 +0900,79
Apple Watch,2024-05-27 15:30:59 +0900,2024-05-27 15:30:58 +0900,2024-05-27 15:30:58 +0900,76
Apple Watch,2024-05-27 15:31:04 +0900,2024-05-27 15:31:03 +0900,2024-05-27 15:31:03 +0900,75
Apple Watch,2024-05-27 15:31:09 +0900,2024-05-27 15:31:05 +0900,2024-05-27 15:31:05 +0900,74
Apple Watch,2024-05-27 15:31:14 +0900,2024-05-27 15:31:13 +0900,2024-05-27 15:31:13 +0900,73
Apple Watch,2024-05-27 15:31:19 +0900,2024-05-27 15:31:18 +0900,2024-05-27 15:31:18 +0900,73
Apple Watch,2024-05-27 15:31:24 +0900,2024-05-27 15:31:19 +0900,2024-05-27 15:31:19 +0900,73
Apple Watch,2024-05-27 15:31:29 +0900,2024-05-27 15:31:26 +0900,2024-05-27 15:31:26 +0900,73
Apple Watch,2024-05-27 15:31:34 +0900,2024-05-27 15:31:29 +0900,2024-05-27 15:31:29 +0900,73
Apple Watch,2024-05-27 15:31:39 +0900,2024-05-27 15:31:37 +0900,2024-05-27 15:31:37 +0900,71
Apple Watch,2024-05-27 15:31:44 +0900,2024-05-27 15:31:41 +0900,2024-05-27 15:31:41 +0900,72
Apple Watch,2024-05-27 15:31:49 +0900,2024-05-27 15:31:44 +0900,2024-05-27 15:31:44 +0900,72
Apple Watch,2024-05-27 15:31:54 +0900,2024-05-27 15:31:49 +0900,2024-05-27 15:31:49 +0900,73
Apple Watch,2024-05-27 15:31:59 +0900,2024-05-27 15:31:58 +0900,2024-05-27 15:31:58 +0900,73
Apple Watch,2024-05-27 15:32:04 +0900,2024-05-27 15:31:59 +0900,2024-05-27 15:31:59 +0900,73
Apple Watch,2024-05-27 15:32:09 +0900,2024-05-27 15:32:05 +0900,2024-05-27 15:32:05 +0900,73
Apple Watch,2024-05-27 15:32:14 +0900,2024-05-27 15:32:13 +0900,2024-05-27 15:32:13 +0900,75
Apple Watch,2024-05-27 15:32:19 +0900,2024-05-27 15:32:14 +0900,2024-05-27 15:32:14 +0900,74
Apple Watch,2024-05-27 15:32:23 +0900,2024-05-27 15:32:20 +0900,2024-05-27 15:32:20 +0900,75
Apple Watch,2024-05-27 15:32:28 +0900,2024-05-27 15:32:25 +0900,2024-05-27 15:32:25 +0900,75
Apple Watch,2024-05-27 15:32:33 +0900,2024-05-27 15:32:29 +0900,2024-05-27 15:32:29 +0900,75
Apple Watch,2024-05-27 15:32:39 +0900,2024-05-27 15:32:38 +0900,2024-05-27 15:32:38 +0900,76
Apple Watch,2024-05-27 15:32:44 +0900,2024-05-27 15:32:39 +0900,2024-05-27 15:32:39 +0900,77
Apple Watch,2024-05-27 15:32:49 +0900,2024-05-27 15:32:44 +0900,2024-05-27 15:32:44 +0900,76
Apple Watch,2024-05-27 15:32:54 +0900,2024-05-27 15:32:53 +0900,2024-05-27 15:32:53 +0900,77
Apple Watch,2024-05-27 15:32:59 +0900,2024-05-27 15:32:55 +0900,2024-05-27 15:32:55 +0900,77
Apple Watch,2024-05-27 15:33:04 +0900,2024-05-27 15:33:00 +0900,2024-05-27 15:33:00 +0900,77
Apple Watch,2024-05-27 15:33:09 +0900,2024-05-27 15:33:08 +0900,2024-05-27 15:33:08 +0900,76
Apple Watch,2024-05-27 15:33:14 +0900,2024-05-27 15:33:10 +0900,2024-05-27 15:33:10 +0900,76
Apple Watch,2024-05-27 15:33:19 +0900,2024-05-27 15:33:14 +0900,2024-05-27 15:33:14 +0900,76
Apple Watch,2024-05-27 15:33:24 +0900,2024-05-27 15:33:19 +0900,2024-05-27 15:33:19 +0900,74
Apple Watch,2024-05-27 15:33:29 +0900,2024-05-27 15:33:24 +0900,2024-05-27 15:33:24 +0900,74
Apple Watch,2024-05-27 15:33:34 +0900,2024-05-27 15:33:32 +0900,2024-05-27 15:33:32 +0900,75
Apple Watch,2024-05-27 15:33:39 +0900,2024-05-27 15:33:35 +0900,2024-05-27 15:33:35 +0900,74
Apple Watch,2024-05-27 15:33:44 +0900,2024-05-27 15:33:43 +0900,2024-05-27 15:33:43 +0900,73
Apple Watch,2024-05-27 15:33:49 +0900,2024-05-27 15:33:44 +0900,2024-05-27 15:33:44 +0900,73
Apple Watch,2024-05-27 15:33:54 +0900,2024-05-27 15:33:52 +0900,2024-05-27 15:33:52 +0900,74
Apple Watch,2024-05-27 15:33:59 +0900,2024-05-27 15:33:58 +0900,2024-05-27 15:33:58 +0900,75
Apple Watch,2024-05-27 15:34:04 +0900,2024-05-27 15:34:00 +0900,2024-05-27 15:34:00 +0900,77
Apple Watch,2024-05-27 15:34:09 +0900,2024-05-27 15:34:04 +0900,2024-05-27 15:34:04 +0900,77
Apple Watch,2024-05-27 15:34:14 +0900,2024-05-27 15:34:12 +0900,2024-05-27 15:34:12 +0900,73
Apple Watch,2024-05-27 15:34:19 +0900,2024-05-27 15:34:18 +0900,2024-05-27 15:34:18 +0900,72
Apple Watch,2024-05-27 15:34:24 +0900,2024-05-27 15:34:22 +0900,2024-05-27 15:34:22 +0900,73
Apple Watch,2024-05-27 15:34:28 +0900,2024-05-27 15:34:27 +0900,2024-05-27 15:34:27 +0900,74
Apple Watch,2024-05-27 15:34:33 +0900,2024-05-27 15:34:33 +0900,2024-05-27 15:34:33 +0900,72
Apple Watch,2024-05-27 15:34:39 +0900,2024-05-27 15:34:38 +0900,2024-05-27 15:34:38 +0900,71
Apple Watch,2024-05-27 15:34:44 +0900,2024-05-27 15:34:40 +0900,2024-05-27 15:34:40 +0900,71
Apple Watch,2024-05-27 15:34:49 +0900,2024-05-27 15:34:44 +0900,2024-05-27 15:34:44 +0900,72
Apple Watch,2024-05-27 15:34:54 +0900,2024-05-27 15:34:49 +0900,2024-05-27 15:34:49 +0900,72
Apple Watch,2024-05-27 15:34:59 +0900,2024-05-27 15:34:54 +0900,2024-05-27 15:34:54 +0900,72
Apple Watch,2024-05-27 15:35:04 +0900,2024-05-27 15:35:02 +0900,2024-05-27 15:35:02 +0900,75
Apple Watch,2024-05-27 15:35:09 +0900,2024-05-27 15:35:07 +0900,2024-05-27 15:35:07 +0900,76
Apple Watch,2024-05-27 15:35:14 +0900,2024-05-27 15:35:11 +0900,2024-05-27 15:35:11 +0900,75
Apple Watch,2024-05-27 15:35:19 +0900,2024-05-27 15:35:14 +0900,2024-05-27 15:35:14 +0900,75
Apple Watch,2024-05-27 15:35:24 +0900,2024-05-27 15:35:23 +0900,2024-05-27 15:35:23 +0900,74
Apple Watch,2024-05-27 15:35:29 +0900,2024-05-27 15:35:27 +0900,2024-05-27 15:35:27 +0900,74
Apple Watch,2024-05-27 15:35:34 +0900,2024-05-27 15:35:31 +0900,2024-05-27 15:35:31 +0900,74
Apple Watch,2024-05-27 15:35:39 +0900,2024-05-27 15:35:34 +0900,2024-05-27 15:35:34 +0900,74
Apple Watch,2024-05-27 15:35:44 +0900,2024-05-27 15:35:39 +0900,2024-05-27 15:35:39 +0900,73
Apple Watch,2024-05-27 15:35:49 +0900,2024-05-27 15:35:45 +0900,2024-05-27 15:35:45 +0900,73
Apple Watch,2024-05-27 15:35:54 +0900,2024-05-27 15:35:52 +0900,2024-05-27 15:35:52 +0900,73
Apple Watch,2024-05-27 15:35:59 +0900,2024-05-27 15:35:55 +0900,2024-05-27 15:35:55 +0900,74
Apple Watch,2024-05-27 15:36:04 +0900,2024-05-27 15:36:01 +0900,2024-05-27 15:36:01 +0900,74
Apple Watch,2024-05-27 15:36:09 +0900,2024-05-27 15:36:05 +0900,2024-05-27 15:36:05 +0900,73
Apple Watch,2024-05-27 15:36:14 +0900,2024-05-27 15:36:12 +0900,2024-05-27 15:36:12 +0900,73
Apple Watch,2024-05-27 15:36:19 +0900,2024-05-27 15:36:14 +0900,2024-05-27 15:36:14 +0900,73
